video_url,format,duration,playlist_url,video_number,video_no,channel_url,playlist_number,playlist_no,channel_title,playlist_title,video_title
https://youtube.com/watch?v=LTG8jyT4VSU,_UNKNOWN_,264,https://www.youtube.com/playlist?list=PLRXyknBDMNN1eTTjlN8bZpSFJYV8PQgBx,13,7,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,7,USLawEssentials,Criminal Law and Procedure,What is a special counsel?
https://youtube.com/watch?v=e1-n32XYV3k,_UNKNOWN_,168,https://www.youtube.com/playlist?list=PLRXyknBDMNN1eTTjlN8bZpSFJYV8PQgBx,13,8,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,7,USLawEssentials,Criminal Law and Procedure,What is the felony murder rule?
https://youtube.com/watch?v=pL3CfTTpcaY,_UNKNOWN_,160,https://www.youtube.com/playlist?list=PLRXyknBDMNN1eTTjlN8bZpSFJYV8PQgBx,13,9,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,7,USLawEssentials,Criminal Law and Procedure,What is the crime of attempt?
https://youtube.com/watch?v=QujwTMUFE3k,_UNKNOWN_,243,https://www.youtube.com/playlist?list=PLRXyknBDMNN1eTTjlN8bZpSFJYV8PQgBx,13,10,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,7,USLawEssentials,Criminal Law and Procedure,What did the Supreme Court decide in Ramos v Louisiana?
https://youtube.com/watch?v=3l3TH6PutBk,_UNKNOWN_,213,https://www.youtube.com/playlist?list=PLRXyknBDMNN1eTTjlN8bZpSFJYV8PQgBx,13,11,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,7,USLawEssentials,Criminal Law and Procedure,What is a lesser included offense?
https://youtube.com/watch?v=iaIxPu5oAEo,_UNKNOWN_,245,https://www.youtube.com/playlist?list=PLRXyknBDMNN1eTTjlN8bZpSFJYV8PQgBx,13,12,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,7,USLawEssentials,Criminal Law and Procedure,What are the federal sentencing guidelines?
https://youtube.com/watch?v=P7oky-OOz7U,_UNKNOWN_,175,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,0,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What is federal subject matter jurisdiction?
https://youtube.com/watch?v=N1AXBS7jJ5E,_UNKNOWN_,189,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,1,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What is Federal Question Jurisdiction
https://youtube.com/watch?v=XB59XEnWXmc,_UNKNOWN_,277,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,2,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What is Diversity Jurisdiction: see updated version https://youtu.be/xFmfJ8w6D9U
https://youtube.com/watch?v=J1UEViFM0UQ,_UNKNOWN_,104,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,3,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What is long arm jurisdiction?  Updated Version
